id,category,subcategory,item,recommendation_text,word_count,content_urgency,content_info_load,sound_duration,sound_volume,sound_pitch,visual_complexity,visual_size,haptic_intensity,haptic_duration
10101,1,1,1,I found a route that lets you avoid traffic. Would you like me to switch?,15,2,2,5.4,medium,high,high,medium,high,1.0
10201,1,2,1,We are near your destination. Would you like me to find the closest parking?,14,2,2,5.2,medium,high,high,medium,high,1.0
10301,1,3,1,You usually prefer to avoid unnecessary lane changes. Traffic is more smoothly in the right lane. Want me to switch now?,21,2,3,9.7,medium,high,high,medium,high,1.0
10401,1,4,1,You usually prefer to avoid unnecessary lane changes. Traffic is more smoothly in the right lane. Want me to switch now?,21,3,2,9.6,medium,high,high,medium,high,1.0
10501,1,5,1,Ben is asking for a ride. Would you like me to pick him up?,14,2,3,4.6,medium,high,high,medium,high,1.0
20101,2,1,1,"The cabin has been quiet. Would you like me to start a playlist, like Rage Your Dream?",17,1,2,6.8,medium,high,high,medium,high,1.0
20201,2,2,1,There’s a radio update available. Would you like me to play your usual music radio?,16,2,3,6.3,medium,high,high,medium,high,1.0
20301,2,3,1,"You’ve been driving for a while. Would you like me to grab you something, like iced coffee?",18,1,2,5.9,medium,high,high,medium,high,1.0
20401,2,4,1,A package was just delivered. Would you like me to remind you when you arrive?,15,2,3,5.3,medium,high,high,medium,high,1.0
20501,2,5,1,It may rain soon. Would you like me to close the windows at home?,14,3,3,5.3,medium,high,high,medium,high,1.0
